Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
24980000,1.9426255,3916.0,1219.4004742423747,-0.015393204,0.25,0.25,1.0
24990000,1.9714875,5999.0,1219.8866088002442,-0.003560707,0.0,0.0,1.0
25000000,1.9566447,5999.0,1219.886267375905,0.0015853948,0.0,0.0,1.0
25010000,1.9968679,5999.0,1219.8855209272085,0.002468399,0.0,0.0,1.0
25020000,1.9871687,5999.0,1219.878609619389,0.003555751,0.0,0.0,1.0
25030000,2.0038373,5999.0,1219.873361134202,0.0024335391,0.0,0.0,1.0
25040000,1.941796,5999.0,1219.874113094638,-0.008185362,0.0,0.0,1.0
25050000,1.9440435,5999.0,1219.874113094638,-0.008685526,0.0,0.0,1.0
25060000,1.942063,3203.5,1220.1237919696935,-0.008839168,0.0,0.0,1.0
25070000,1.9202335,1526.0,1220.3730645396886,0.02852736,0.5,0.5,1.0
25080000,1.9402543,2121.3333333333335,1220.6949704666488,0.05086991,0.5,0.5,1.0
25090000,1.9417391,2353.0,1221.352517534362,0.009208449,0.3333333333333333,0.3333333333333333,1.0
25100000,1.9255444,4970.0,1221.3472807444648,-0.0006616921,0.0,0.0,1.0
25110000,1.9415711,5041.666666666667,1221.3386718053484,-0.003957766,-0.3333333333333333,-0.3333333333333333,1.0
25120000,1.9710108,1890.0,1221.8189899153451,0.0059322533,0.6666666666666666,0.6666666666666666,1.0
25130000,1.8879311,4130.0,1222.6224783575299,0.0046102093,0.5,0.5,1.0
25140000,1.9049232,5999.0,1222.7775464214867,-0.0025087702,0.0,0.0,1.0
25150000,1.8952793,5999.0,1222.773553913925,-0.0021148052,0.0,0.0,1.0
25160000,1.8883601,5999.0,1222.7666881993364,-0.0025132108,0.0,0.0,1.0
25170000,1.9078866,5999.0,1222.7511746930807,0.00065371743,0.0,0.0,1.0
25180000,1.9166816,5798.333333333333,1222.2398252647924,-0.005604887,-0.3333333333333333,-0.3333333333333333,1.0
25190000,1.880336,2829.6666666666665,1222.3863907851785,0.0792059,0.0,0.0,1.0
25200000,1.892455,5999.0,1222.2114750885848,0.0032805211,0.0,0.0,1.0
25210000,1.8643754,5999.0,1222.211541925209,-0.014226573,0.0,0.0,1.0
25220000,1.9000143,5999.0,1222.206282552499,-0.0065392903,0.0,0.0,1.0
25230000,1.8851868,None,None,-0.0048811384,None,None,1.0
25240000,1.9177897,5999.0,1222.1936502172657,-0.004927496,0.0,0.0,1.0
25250000,1.8747427,5999.0,1221.6841088203082,0.010909461,-0.5,-0.5,1.0
25260000,1.927223,4477.0,1222.0079438168227,0.019893978,0.3333333333333333,0.3333333333333333,1.0
25270000,1.8835492,478.0,1221.6659782349634,-0.0034096902,-0.5,-0.5,1.0
25280000,1.9105843,997.0,1221.6651207815403,-0.0062357727,0.0,0.0,1.0
25290000,1.8760753,3470.0,1221.1625481348094,-0.007759425,-0.5,-0.5,1.0
25300000,1.8888478,4173.333333333333,1221.1569047888154,0.0013660198,0.0,0.0,1.0
